"SnapshotDate","SnapshotTimestamp","ItemName","ItemKind","WorkspaceName","CU(s)","Duration(s)","Operations"
"2026-08-05","2026-08-05 13:30:20","Universal_SemanticModel_Refresh_WithPolling","SynapseNotebook","LH_Master_Data","207842.18","23261.94","174"
"2026-08-05","2026-08-05 13:30:20","Inspections","Dataset","RP - Service Reports","148237.22","8231.11","323"
"2026-08-05","2026-08-05 13:30:20","df_JDIS_PART_INFORMATION_Raw","DataflowFabric","LH_Master_Data","136235.79","15456.01","24"
"2026-08-05","2026-08-05 13:30:20","df_InTrans_Incremental","DataflowFabric","LH_Master_Data","68110.43","10622.91","26"
"2026-08-05","2026-08-05 13:30:20","df_Invoice_Raw","DataflowFabric","LH_Master_Data","49201.74","4381.15","12"
"2026-08-05","2026-08-05 13:30:20","df_InTrans_PartsCounter_Raw","DataflowFabric","LH_Master_Data","46574.83","4198.34","12"
"2026-08-05","2026-08-05 13:30:20","df_PartsLookup_Sync","DataflowFabric","LH_Master_Data","39518.14","3498.8","7"
"2026-08-05","2026-08-05 13:30:20","LH_Master_Data","Lakehouse","LH_Master_Data","38923.06","101.62","101617"
"2026-08-05","2026-08-05 13:30:20","df_GlTrans_Raw","DataflowFabric","LH_Master_Data","38242.56","3444.46","12"
"2026-08-05","2026-08-05 13:30:20","Customer Anatomy V2","Dataset","RP - Service Reports","36328.25","1820.16","112"
"2026-08-05","2026-08-05 13:30:20","df_InHist_PmManage_Raw","DataflowFabric","LH_Master_Data","34525.7","3157.81","12"
"2026-08-05","2026-08-05 13:30:20","df_Fact_ServiceTimeSheet_Audit","DataflowFabric","LH_Master_Data","32583.36","2501.95","10"
"2026-08-05","2026-08-05 13:30:20","df_Fact_Transfers","DataflowFabric","LH_Master_Data","31150.5","2519.02","8"
"2026-08-05","2026-08-05 13:30:20","df_Fact_Parts_Details","DataflowFabric","LH_Master_Data","26588.54","2459.24","8"
"2026-08-05","2026-08-05 13:30:20","df_WKROFILE_Raw","DataflowFabric","LH_Master_Data","26569.57","2516.7","12"
"2026-08-05","2026-08-05 13:30:20","LH_Master_Data","Warehouse","LH_Master_Data","23107.74","33652.44","44068"
"2026-08-05","2026-08-05 13:30:20","Parts Promo","Dataset","RP - Parts Reports","22131.36","7337.65","91"
"2026-08-05","2026-08-05 13:30:20","df_NonJD_Parts_Ordering_Raw","DataflowFabric","LH_Master_Data","19418.21","1942.83","11"
"2026-08-05","2026-08-05 13:30:20","Transfers","Dataset","RP - Parts Reports","19036.37","1639.26","205"
"2026-08-05","2026-08-05 13:30:20","Part Sales with Low Margin","Dataset","RP - Parts Reports","15074.64","1927.58","221"
"2026-08-05","2026-08-05 13:30:20","Pin Capture","Dataset","RP - Parts Reports","11478.14","1791.27","259"
"2026-08-05","2026-08-05 13:30:20","Parts Adjustments","Dataset","RP - Parts Reports","11469.16","938.85","252"
"2026-08-05","2026-08-05 13:30:20","Price Matrix","Dataset","RP - Parts Reports","11335.27","1062.6","141"
"2026-08-05","2026-08-05 13:30:20","First Pass Fill","Dataset","RP - Parts Reports","5944.87","534.35","224"
"2026-08-05","2026-08-05 13:30:20","Planter Inspection Part Sales","Dataset","RP - Service Reports","4853.25","305.99","103"
"2026-08-05","2026-08-05 13:30:20","MD Invoices With No Freight","Dataset","RP - Parts Reports","4583.71","329.57","518"
"2026-08-05","2026-08-05 13:30:20","Unique Parts Customers","Dataset","RP - Parts Reports","2602.57","175.3","109"
"2026-08-05","2026-08-05 13:30:20","Combine Vault Sales","Dataset","RP - Parts Reports","2502.39","260.12","98"
"2026-08-05","2026-08-05 13:30:20","60+ Days Past Due","Dataset","RP - Financial Reports","2424.69","177.48","98"
"2026-08-05","2026-08-05 13:30:20","Open Work Orders","Dataset","RP - Service Reports","1991.99","184.96","100"
"2026-08-05","2026-08-05 13:30:20","Labor Performance","Dataset","RP - Service Reports","1109.11","220.83","100"
"2026-08-05","2026-08-05 13:30:20","Bin Location Report","Dataset","RP - Parts Reports","1062.5","122.23","182"
"2026-08-05","2026-08-05 13:30:20","Open Parts Tickets","Dataset","RP - Parts Reports","1025.58","155.5","138"
"2026-08-05","2026-08-05 13:30:20","Negative On Hand-On Hand No Bin","Dataset","RP - Parts Reports","575.46","137.48","123"
"2026-08-05","2026-08-05 13:30:20","df_JDIS_PART_INFORMATION_Raw","DataflowFabric","LH_Master_Data","455.56","1.19","1188"
"2026-08-05","2026-08-05 13:30:20","df_InTrans_Incremental","DataflowFabric","LH_Master_Data","374.04","0.97","970"
"2026-08-05","2026-08-05 13:30:20","df_Invoice_Raw","DataflowFabric","LH_Master_Data","162.22","0.46","456"
"2026-08-05","2026-08-05 13:30:20","Pipeline_SM_Refresh_TEST","Pipeline","LH_Master_Data","161.61","641.9","10"
"2026-08-05","2026-08-05 13:30:20","df_InTrans_PartsCounter_Raw","DataflowFabric","LH_Master_Data","158.97","0.44","439"
"2026-08-05","2026-08-05 13:30:20","df_GlTrans_Raw","DataflowFabric","LH_Master_Data","144.01","0.39","390"
"2026-08-05","2026-08-05 13:30:20","df_InHist_PmManage_Raw","DataflowFabric","LH_Master_Data","137.51","0.38","375"
"2026-08-05","2026-08-05 13:30:20","df_PartsLookup_Sync","DataflowFabric","LH_Master_Data","132.61","0.37","371"
"2026-08-05","2026-08-05 13:30:20","df_WKROFILE_Raw","DataflowFabric","LH_Master_Data","124.21","0.36","363"
"2026-08-05","2026-08-05 13:30:20","df_Fact_ServiceTimeSheet_Audit","DataflowFabric","LH_Master_Data","119.44","0.31","311"
"2026-08-05","2026-08-05 13:30:20","df_Fact_Transfers","DataflowFabric","LH_Master_Data","109.03","0.3","301"
"2026-08-05","2026-08-05 13:30:20","df_Fact_Parts_Details","DataflowFabric","LH_Master_Data","107.72","0.3","299"
"2026-08-05","2026-08-05 13:30:20","df_NonJD_Parts_Ordering_Raw","DataflowFabric","LH_Master_Data","105.98","0.28","285"
"2026-08-05","2026-08-05 13:30:20","parts-lookup-app","AppBackend","RP - Fabric Apps","32.09","0.47","470"
"2026-08-06","2026-08-06 08:02:13","parts-lookup-app","SQLDbNative","RP - Fabric Apps","250465.19","118560.78","2755"
"2026-08-06","2026-08-06 08:02:13","Universal_SemanticModel_Refresh_WithPolling","SynapseNotebook","LH_Master_Data","184708.51","20715.79","152"
"2026-08-06","2026-08-06 08:02:13","Inspections","Dataset","RP - Service Reports","144530.44","8072.23","277"
"2026-08-06","2026-08-06 08:02:13","df_JDIS_PART_INFORMATION_Raw","DataflowFabric","LH_Master_Data","136233.81","15363.28","21"
"2026-08-06","2026-08-06 08:02:13","df_InTrans_Incremental","DataflowFabric","LH_Master_Data","68150.85","10560.2","23"
"2026-08-06","2026-08-06 08:02:13","df_Invoice_Raw","DataflowFabric","LH_Master_Data","49227.92","4379.69","12"
"2026-08-06","2026-08-06 08:02:13","df_InTrans_PartsCounter_Raw","DataflowFabric","LH_Master_Data","45492.94","4087","12"
"2026-08-06","2026-08-06 08:02:13","df_PartsLookup_Sync","DataflowFabric","LH_Master_Data","39518.14","3498.8","7"
"2026-08-06","2026-08-06 08:02:13","df_GlTrans_Raw","DataflowFabric","LH_Master_Data","38435.95","3452.63","12"
"2026-08-06","2026-08-06 08:02:13","LH_Master_Data","Lakehouse","LH_Master_Data","37807.26","98.06","98063"
"2026-08-06","2026-08-06 08:02:13","Customer Anatomy V2","Dataset","RP - Service Reports","37079.39","1989.34","117"
"2026-08-06","2026-08-06 08:02:13","df_Fact_Transfers","DataflowFabric","LH_Master_Data","35388.69","3148.98","8"
"2026-08-06","2026-08-06 08:02:13","df_InHist_PmManage_Raw","DataflowFabric","LH_Master_Data","34571.95","3157.15","12"
"2026-08-06","2026-08-06 08:02:13","df_Fact_ServiceTimeSheet_Audit","DataflowFabric","LH_Master_Data","29297.78","2244.39","9"
"2026-08-06","2026-08-06 08:02:13","LH_Master_Data","Warehouse","LH_Master_Data","28490.8","37695.15","44306"
"2026-08-06","2026-08-06 08:02:13","Transfers","Dataset","RP - Parts Reports","27803.46","2862.5","189"
"2026-08-06","2026-08-06 08:02:13","df_WKROFILE_Raw","DataflowFabric","LH_Master_Data","26740.94","2526.52","12"
"2026-08-06","2026-08-06 08:02:13","df_Fact_Parts_Details","DataflowFabric","LH_Master_Data","25947.55","2428.89","8"
"2026-08-06","2026-08-06 08:02:13","Parts Promo","Dataset","RP - Parts Reports","21858.35","8256.98","91"
"2026-08-06","2026-08-06 08:02:13","df_Fact_WorkOrderParts","DataflowFabric","LH_Master_Data","20505.06","1882.55","8"
"2026-08-06","2026-08-06 08:02:13","Inventory Analysis","Dataset","RP - Parts Reports","16718.89","1324.09","489"
"2026-08-06","2026-08-06 08:02:13","Part Sales with Low Margin","Dataset","RP - Parts Reports","14538.05","2082.92","209"
"2026-08-06","2026-08-06 08:02:13","Pin Capture","Dataset","RP - Parts Reports","11599.24","2034","258"
"2026-08-06","2026-08-06 08:02:13","Parts Adjustments","Dataset","RP - Parts Reports","11455.11","940.97","247"
"2026-08-06","2026-08-06 08:02:13","Price Matrix","Dataset","RP - Parts Reports","11330.73","1063.7","140"
"2026-08-06","2026-08-06 08:02:13","First Pass Fill","Dataset","RP - Parts Reports","6076.47","536.77","220"
"2026-08-06","2026-08-06 08:02:13","Planter Inspection Part Sales","Dataset","RP - Service Reports","4992.56","305.65","99"
"2026-08-06","2026-08-06 08:02:13","MD Invoices With No Freight","Dataset","RP - Parts Reports","4910.73","392.45","472"
"2026-08-06","2026-08-06 08:02:13","Unique Parts Customers","Dataset","RP - Parts Reports","2759.7","198.39","105"
"2026-08-06","2026-08-06 08:02:13","Combine Vault Sales","Dataset","RP - Parts Reports","2537.4","256.33","98"
"2026-08-06","2026-08-06 08:02:13","60+ Days Past Due","Dataset","RP - Financial Reports","2445.32","174.37","95"
"2026-08-06","2026-08-06 08:02:13","Open Work Orders","Dataset","RP - Service Reports","1967.15","178.65","96"
"2026-08-06","2026-08-06 08:02:13","Physical Inventory","Dataset","RP - Parts Reports","1612.73","638.8","707"
"2026-08-06","2026-08-06 08:02:13","Labor Performance","Dataset","RP - Service Reports","1102.1","219.37","96"
"2026-08-06","2026-08-06 08:02:13","Bin Location Report","Dataset","RP - Parts Reports","1062.5","122.23","182"
"2026-08-06","2026-08-06 08:02:13","Open Parts Tickets","Dataset","RP - Parts Reports","1000.94","153.85","120"
"2026-08-06","2026-08-06 08:02:13","Negative On Hand-On Hand No Bin","Dataset","RP - Parts Reports","558.54","136.65","108"
"2026-08-06","2026-08-06 08:02:13","df_JDIS_PART_INFORMATION_Raw","DataflowFabric","LH_Master_Data","440.13","1.15","1151"
"2026-08-06","2026-08-06 08:02:13","df_InTrans_Incremental","DataflowFabric","LH_Master_Data","359.29","0.94","943"
"2026-08-06","2026-08-06 08:02:13","Pipeline_SM_Refresh_TEST","Pipeline","LH_Master_Data","161.61","641.9","10"
"2026-08-06","2026-08-06 08:02:13","df_Invoice_Raw","DataflowFabric","LH_Master_Data","160.66","0.45","451"
"2026-08-06","2026-08-06 08:02:13","df_InTrans_PartsCounter_Raw","DataflowFabric","LH_Master_Data","154.8","0.43","430"
"2026-08-06","2026-08-06 08:02:13","df_GlTrans_Raw","DataflowFabric","LH_Master_Data","143.1","0.39","387"
"2026-08-06","2026-08-06 08:02:13","df_InHist_PmManage_Raw","DataflowFabric","LH_Master_Data","135.94","0.37","370"
"2026-08-06","2026-08-06 08:02:13","df_PartsLookup_Sync","DataflowFabric","LH_Master_Data","131.06","0.37","371"
"2026-08-06","2026-08-06 08:02:13","df_WKROFILE_Raw","DataflowFabric","LH_Master_Data","122.64","0.36","360"
"2026-08-06","2026-08-06 08:02:13","df_Fact_Transfers","DataflowFabric","LH_Master_Data","122.36","0.35","347"
"2026-08-06","2026-08-06 08:02:13","df_Fact_ServiceTimeSheet_Audit","DataflowFabric","LH_Master_Data","107.13","0.29","289"
"2026-08-06","2026-08-06 08:02:13","df_Fact_Parts_Details","DataflowFabric","LH_Master_Data","105.51","0.29","293"
"2026-08-06","2026-08-06 08:02:13","df_Fact_WorkOrderParts","DataflowFabric","LH_Master_Data","95.43","0.27","272"
"2026-08-06","2026-08-06 08:02:13","parts-lookup-app","AppBackend","RP - Fabric Apps","24.99","0.4","401"
"2026-08-06","2026-08-06 13:13:18","parts-lookup-app","SQLDbNative","RP - Fabric Apps","264578.94","126300.85","2954"
"2026-08-06","2026-08-06 13:13:18","Universal_SemanticModel_Refresh_WithPolling","SynapseNotebook","LH_Master_Data","186092.75","20869.48","153"
"2026-08-06","2026-08-06 13:13:18","Inspections","Dataset","RP - Service Reports","144530.8","8072.24","278"
"2026-08-06","2026-08-06 13:13:18","df_JDIS_PART_INFORMATION_Raw","DataflowFabric","LH_Master_Data","143695.42","16181.9","22"
"2026-08-06","2026-08-06 13:13:18","df_InTrans_Incremental","DataflowFabric","LH_Master_Data","68848.74","10654.47","24"
"2026-08-06","2026-08-06 13:13:18","df_Invoice_Raw","DataflowFabric","LH_Master_Data","49227.92","4379.69","12"
"2026-08-06","2026-08-06 13:13:18","df_InTrans_PartsCounter_Raw","DataflowFabric","LH_Master_Data","45492.94","4087","12"
"2026-08-06","2026-08-06 13:13:18","LH_Master_Data","Lakehouse","LH_Master_Data","39579.07","105.51","105507"
"2026-08-06","2026-08-06 13:13:18","df_PartsLookup_Sync","DataflowFabric","LH_Master_Data","39518.14","3498.8","7"
"2026-08-06","2026-08-06 13:13:18","df_GlTrans_Raw","DataflowFabric","LH_Master_Data","38435.95","3452.63","12"
"2026-08-06","2026-08-06 13:13:18","Customer Anatomy V2","Dataset","RP - Service Reports","37079.39","1989.34","117"
"2026-08-06","2026-08-06 13:13:18","df_Fact_Transfers","DataflowFabric","LH_Master_Data","35388.69","3148.98","8"
"2026-08-06","2026-08-06 13:13:18","df_InHist_PmManage_Raw","DataflowFabric","LH_Master_Data","34571.95","3157.15","12"
"2026-08-06","2026-08-06 13:13:18","df_Fact_ServiceTimeSheet_Audit","DataflowFabric","LH_Master_Data","32337.15","2481.39","10"
"2026-08-06","2026-08-06 13:13:18","LH_Master_Data","Warehouse","LH_Master_Data","28994.31","38506.47","45623"
"2026-08-06","2026-08-06 13:13:18","Transfers","Dataset","RP - Parts Reports","27803.46","2862.5","189"
"2026-08-06","2026-08-06 13:13:18","df_WKROFILE_Raw","DataflowFabric","LH_Master_Data","26740.94","2526.52","12"
"2026-08-06","2026-08-06 13:13:18","df_Fact_Parts_Details","DataflowFabric","LH_Master_Data","25947.55","2428.89","8"
"2026-08-06","2026-08-06 13:13:18","Parts Promo","Dataset","RP - Parts Reports","21858.35","8256.98","91"
"2026-08-06","2026-08-06 13:13:18","df_Fact_WorkOrderParts","DataflowFabric","LH_Master_Data","20505.06","1882.55","8"
"2026-08-06","2026-08-06 13:13:18","Inventory Analysis","Dataset","RP - Parts Reports","16718.89","1324.09","489"
"2026-08-06","2026-08-06 13:13:18","df_PartsLookup_Sync_Incremental","DataflowFabric","LH_Master_Data","14975.38","1356.22","6"
"2026-08-06","2026-08-06 13:13:18","Part Sales with Low Margin","Dataset","RP - Parts Reports","14538.05","2082.92","209"
"2026-08-06","2026-08-06 13:13:18","Pin Capture","Dataset","RP - Parts Reports","11599.24","2034","258"
"2026-08-06","2026-08-06 13:13:18","Parts Adjustments","Dataset","RP - Parts Reports","11455.11","940.97","247"
"2026-08-06","2026-08-06 13:13:18","Price Matrix","Dataset","RP - Parts Reports","11330.73","1063.7","140"
"2026-08-06","2026-08-06 13:13:18","Update_Watermark_PartsLookup","SynapseNotebook","LH_Master_Data","6146.92","619.24","4"
"2026-08-06","2026-08-06 13:13:18","First Pass Fill","Dataset","RP - Parts Reports","6076.47","536.77","220"
"2026-08-06","2026-08-06 13:13:18","Planter Inspection Part Sales","Dataset","RP - Service Reports","4992.56","305.65","99"
"2026-08-06","2026-08-06 13:13:18","MD Invoices With No Freight","Dataset","RP - Parts Reports","4910.73","392.45","472"
"2026-08-06","2026-08-06 13:13:18","Unique Parts Customers","Dataset","RP - Parts Reports","2759.7","198.39","105"
"2026-08-06","2026-08-06 13:13:18","df_InMaster_PartsLookup_Incremental","DataflowFabric","LH_Master_Data","2650.93","276.88","3"
"2026-08-06","2026-08-06 13:13:18","Combine Vault Sales","Dataset","RP - Parts Reports","2537.4","256.33","98"
"2026-08-06","2026-08-06 13:13:18","60+ Days Past Due","Dataset","RP - Financial Reports","2445.32","174.37","100"
"2026-08-06","2026-08-06 13:13:18","Open Work Orders","Dataset","RP - Service Reports","1967.15","178.65","96"
"2026-08-06","2026-08-06 13:13:18","Physical Inventory","Dataset","RP - Parts Reports","1612.73","638.8","707"
"2026-08-06","2026-08-06 13:13:18","Labor Performance","Dataset","RP - Service Reports","1102.1","219.37","96"
"2026-08-06","2026-08-06 13:13:18","Bin Location Report","Dataset","RP - Parts Reports","1062.5","122.23","182"
"2026-08-06","2026-08-06 13:13:18","Open Parts Tickets","Dataset","RP - Parts Reports","1000.94","153.85","120"
"2026-08-06","2026-08-06 13:13:18","Negative On Hand-On Hand No Bin","Dataset","RP - Parts Reports","558.54","136.65","108"
"2026-08-06","2026-08-06 13:13:18","Pipeline_PartsLookup_Incremental","Pipeline","LH_Master_Data","484.17","1570.72","25"
"2026-08-06","2026-08-06 13:13:18","df_JDIS_PART_INFORMATION_Raw","DataflowFabric","LH_Master_Data","462.61","1.2","1203"
"2026-08-06","2026-08-06 13:13:18","df_InTrans_Incremental","DataflowFabric","LH_Master_Data","366.8","0.96","959"
"2026-08-06","2026-08-06 13:13:18","Pipeline_SM_Refresh_TEST","Pipeline","LH_Master_Data","161.61","641.9","10"
"2026-08-06","2026-08-06 13:13:18","df_Invoice_Raw","DataflowFabric","LH_Master_Data","160.68","0.45","452"
"2026-08-06","2026-08-06 13:13:18","df_InTrans_PartsCounter_Raw","DataflowFabric","LH_Master_Data","154.82","0.43","431"
"2026-08-06","2026-08-06 13:13:18","df_GlTrans_Raw","DataflowFabric","LH_Master_Data","143.12","0.39","388"
"2026-08-06","2026-08-06 13:13:18","df_InHist_PmManage_Raw","DataflowFabric","LH_Master_Data","135.96","0.37","371"
"2026-08-06","2026-08-06 13:13:18","df_PartsLookup_Sync","DataflowFabric","LH_Master_Data","131.06","0.37","371"
"2026-08-06","2026-08-06 13:13:18","df_WKROFILE_Raw","DataflowFabric","LH_Master_Data","122.67","0.36","361"
"2026-08-06","2026-08-06 13:13:18","df_Fact_Transfers","DataflowFabric","LH_Master_Data","122.38","0.35","348"
"2026-08-06","2026-08-06 13:13:18","df_PartsLookup_Sync_Incremental","DataflowFabric","LH_Master_Data","117.74","0.47","473"
"2026-08-06","2026-08-06 13:13:18","df_Fact_ServiceTimeSheet_Audit","DataflowFabric","LH_Master_Data","117.23","0.31","310"
"2026-08-06","2026-08-06 13:13:18","df_Fact_Parts_Details","DataflowFabric","LH_Master_Data","105.53","0.29","294"
"2026-08-06","2026-08-06 13:13:18","df_Fact_WorkOrderParts","DataflowFabric","LH_Master_Data","95.45","0.27","273"
"2026-08-06","2026-08-06 13:13:18","df_InMaster_PartsLookup_Incremental","DataflowFabric","LH_Master_Data","41.44","0.13","127"
"2026-08-06","2026-08-06 13:13:18","parts-lookup-app","AppBackend","RP - Fabric Apps","25.84","0.41","413"
"2026-08-06","2026-08-06 13:13:18","parts-lookup-app","AppBackend","RP - Fabric Apps","0","0","3"
"2026-08-07","2026-08-07 08:01:55","parts-lookup-app","SQLDbNative","RP - Fabric Apps","275936.18","134580.86","3104"
"2026-08-07","2026-08-07 08:01:55","Inspections","Dataset","RP - Service Reports","166351.9","9075.06","279"
"2026-08-07","2026-08-07 08:01:55","Universal_SemanticModel_Refresh_WithPolling","SynapseNotebook","LH_Master_Data","162030.4","18255.26","132"
"2026-08-07","2026-08-07 08:01:55","df_JDIS_PART_INFORMATION_Raw","DataflowFabric","LH_Master_Data","143587.65","16092.87","19"
"2026-08-07","2026-08-07 08:01:55","df_InTrans_Incremental","DataflowFabric","LH_Master_Data","68630.08","10623.74","24"
"2026-08-07","2026-08-07 08:01:55","df_Invoice_Raw","DataflowFabric","LH_Master_Data","54827.58","4866.44","10"
"2026-08-07","2026-08-07 08:01:55","df_Fact_Transfers","DataflowFabric","LH_Master_Data","51483.47","4976.16","10"
"2026-08-07","2026-08-07 08:01:55","df_InTrans_PartsCounter_Raw","DataflowFabric","LH_Master_Data","50068.61","4485.02","10"
"2026-08-07","2026-08-07 08:01:55","df_PartsLookup_Sync","DataflowFabric","LH_Master_Data","46329.66","4093.19","8"
"2026-08-07","2026-08-07 08:01:55","df_GlTrans_Raw","DataflowFabric","LH_Master_Data","42509.62","3809.35","10"
"2026-08-07","2026-08-07 08:01:55","LH_Master_Data","Lakehouse","LH_Master_Data","41688.17","108.39","108393"
"2026-08-07","2026-08-07 08:01:55","df_InHist_PmManage_Raw","DataflowFabric","LH_Master_Data","38647.87","3513.2","10"
"2026-08-07","2026-08-07 08:01:55","Transfers","Dataset","RP - Parts Reports","37487.63","4107.49","190"
"2026-08-07","2026-08-07 08:01:55","Customer Anatomy V2","Dataset","RP - Service Reports","37265.22","2013.78","116"
"2026-08-07","2026-08-07 08:01:55","LH_Master_Data","Warehouse","LH_Master_Data","36212.04","48521.37","47499"
"2026-08-07","2026-08-07 08:01:55","df_WKROFILE_Raw","DataflowFabric","LH_Master_Data","29566.56","2782.37","10"
"2026-08-07","2026-08-07 08:01:55","df_Fact_Parts_Details","DataflowFabric","LH_Master_Data","29068.99","2719.5","9"
"2026-08-07","2026-08-07 08:01:55","df_Fact_ServiceTimeSheet_Audit","DataflowFabric","LH_Master_Data","29064","2223.41","9"
"2026-08-07","2026-08-07 08:01:55","df_Fact_WorkOrderParts","DataflowFabric","LH_Master_Data","27442.02","2485.67","9"
"2026-08-07","2026-08-07 08:01:55","Parts Promo","Dataset","RP - Parts Reports","21339.99","9164.88","89"
"2026-08-07","2026-08-07 08:01:55","Inventory Analysis","Dataset","RP - Parts Reports","17430.83","1398.85","489"
"2026-08-07","2026-08-07 08:01:55","df_PartsLookup_Sync_Incremental","DataflowFabric","LH_Master_Data","14975.38","1356.22","6"
"2026-08-07","2026-08-07 08:01:55","Part Sales with Low Margin","Dataset","RP - Parts Reports","14785.14","2244.96","206"
"2026-08-07","2026-08-07 08:01:55","Pin Capture","Dataset","RP - Parts Reports","11442.82","2608.08","257"
"2026-08-07","2026-08-07 08:01:55","Price Matrix","Dataset","RP - Parts Reports","11424.87","1063.27","139"
"2026-08-07","2026-08-07 08:01:55","Parts Adjustments","Dataset","RP - Parts Reports","11325.28","941.1","249"
"2026-08-07","2026-08-07 08:01:55","First Pass Fill","Dataset","RP - Parts Reports","6323.65","544.95","225"
"2026-08-07","2026-08-07 08:01:55","Update_Watermark_PartsLookup","SynapseNotebook","LH_Master_Data","6146.92","619.24","4"
"2026-08-07","2026-08-07 08:01:55","MD Invoices With No Freight","Dataset","RP - Parts Reports","5302.04","434.42","464"
"2026-08-07","2026-08-07 08:01:55","Planter Inspection Part Sales","Dataset","RP - Service Reports","4978.87","289.57","97"
"2026-08-07","2026-08-07 08:01:55","Unique Parts Customers","Dataset","RP - Parts Reports","2915.76","220.38","103"
"2026-08-07","2026-08-07 08:01:55","df_InMaster_PartsLookup_Incremental","DataflowFabric","LH_Master_Data","2650.93","276.88","3"
"2026-08-07","2026-08-07 08:01:55","Combine Vault Sales","Dataset","RP - Parts Reports","2616.86","287.01","97"
"2026-08-07","2026-08-07 08:01:55","Open Work Orders","Dataset","RP - Service Reports","2023.86","180","95"
"2026-08-07","2026-08-07 08:01:55","Physical Inventory","Dataset","RP - Parts Reports","1552.25","636.1","593"
"2026-08-07","2026-08-07 08:01:55","Labor Performance","Dataset","RP - Service Reports","1116.1","218.05","96"
"2026-08-07","2026-08-07 08:01:55","Bin Location Report","Dataset","RP - Parts Reports","1062.5","122.23","182"
"2026-08-07","2026-08-07 08:01:55","Open Parts Tickets","Dataset","RP - Parts Reports","984.5","153.53","120"
"2026-08-07","2026-08-07 08:01:55","Negative On Hand-On Hand No Bin","Dataset","RP - Parts Reports","562.06","144.01","109"
"2026-08-07","2026-08-07 08:01:55","Pipeline_PartsLookup_Incremental","Pipeline","LH_Master_Data","484.17","1570.72","25"
"2026-08-07","2026-08-07 08:01:55","df_JDIS_PART_INFORMATION_Raw","DataflowFabric","LH_Master_Data","450.87","1.17","1169"
"2026-08-07","2026-08-07 08:01:55","df_InTrans_Incremental","DataflowFabric","LH_Master_Data","364.99","0.95","950"
"2026-08-07","2026-08-07 08:01:55","df_Fact_Transfers","DataflowFabric","LH_Master_Data","172.12","0.47","470"
